,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
18475,2021-02-02,17,Illinois,238,259.57142857142856,2304,3212.4285714285716,4.088956667532738,0.35289307343727055
18476,2021-02-03,17,Illinois,253,251.85714285714286,3314,3150.0,3.9215051598936146,0.3472965336497695
18477,2021-02-04,17,Illinois,224,241.42857142857142,3328,3026.714285714286,3.8134716243720646,0.34500394626002995
18478,2021-02-05,17,Illinois,226,236.85714285714286,3660,2955.8571428571427,3.6373744047823138,0.34022618464084703
18479,2021-02-06,17,Illinois,200,232.71428571428572,3062,2915.4285714285716,3.518884275010886,0.33497851829160274
18480,2021-02-07,17,Illinois,174,226.57142857142858,2065,2863.5714285714284,3.367634376033523,0.32845955612633765
18481,2021-02-08,17,Illinois,202,216.71428571428572,1742,2782.1428571428573,3.271780585250049,0.32255181980401376
18482,2021-02-09,17,Illinois,191,210.0,2082,2750.4285714285716,3.210912414127688,0.31579805214098616
18483,2021-02-10,17,Illinois,209,203.71428571428572,2825,2680.5714285714284,3.0736841254172385,0.3032663890636877
18484,2021-02-11,17,Illinois,189,198.71428571428572,2838,2610.5714285714284,2.929523027040332,0.2908663064940336
18485,2021-02-12,17,Illinois,170,190.71428571428572,2598,2458.8571428571427,2.8038412797545633,0.2793391626102949
18486,2021-02-13,17,Illinois,169,186.28571428571428,2092,2320.285714285714,2.6841084391854464,0.27054332608826204
18487,2021-02-14,17,Illinois,133,180.42857142857142,1631,2258.285714285714,2.648090789000864,0.2610998339468483
18488,2021-02-15,17,Illinois,202,180.42857142857142,1420,2212.285714285714,2.489801979381309,0.2503078928805617
18489,2021-02-16,17,Illinois,174,178.0,1348,2107.4285714285716,2.3254591309097976,0.24231498515568853
18490,2021-02-17,17,Illinois,182,174.14285714285714,1795,1960.2857142857142,2.2081197165312685,0.236030076276942
18491,2021-02-18,17,Illinois,196,175.14285714285714,1967,1835.857142857143,2.0566580468277698,0.23038012128798174
18492,2021-02-19,17,Illinois,167,174.71428571428572,2218,1781.5714285714287,2.013137428217929,0.22838806011997867
18493,2021-02-20,17,Illinois,135,169.85714285714286,1922,1757.2857142857142,1.9904515694865375,0.22877591824839955
18494,2021-02-21,17,Illinois,144,171.42857142857142,1585,1750.7142857142858,1.9334794201091638,0.22874912001746245
18495,2021-02-22,17,Illinois,174,167.42857142857142,1246,1725.857142857143,1.9614236187362988,0.22858115723431777
18496,2021-02-23,17,Illinois,139,162.42857142857142,1665,1771.142857142857,1.9918543386893364,0.22566053733160094
18497,2021-02-24,17,Illinois,167,160.28571428571428,2022,1803.5714285714287,2.0361147131722603,0.2223232326923279
18498,2021-02-25,17,Illinois,163,155.57142857142858,1884,1791.7142857142858,2.074745505244339,0.21695115774349605
18499,2021-02-26,17,Illinois,141,151.85714285714286,2441,1823.5714285714287,2.0365552343578055,0.20862552143690882
18500,2021-02-27,17,Illinois,108,148.0,1780,1803.2857142857142,2.003458227665037,0.19973228127213977
18501,2021-02-28,17,Illinois,112,143.42857142857142,1249,1755.2857142857142,1.9637776531295381,0.1928712664365559
18502,2021-03-01,17,Illinois,143,139.0,1143,1740.5714285714287,1.939296914801289,0.18598957493898607
18503,2021-03-02,17,Illinois,139,139.0,1577,1728.0,1.8692448225602705,0.18074565490550076
18504,2021-03-03,17,Illinois,137,134.71428571428572,2104,1739.7142857142858,1.847384983506929,0.1769637875294738
18505,2021-03-04,17,Illinois,156,133.71428571428572,1740,1719.142857142857,1.7972735470828851,0.17420511249332696
18506,2021-03-05,17,Illinois,132,132.42857142857142,1442,1576.4285714285713,1.754515801107239,0.17122783041430134
18507,2021-03-06,17,Illinois,132,135.85714285714286,2565,1688.5714285714287,1.7238612240139501,0.16975582286961033
18508,2021-03-07,17,Illinois,108,135.28571428571428,1068,1662.7142857142858,1.687403022172081,0.1685234283081945
18509,2021-03-08,17,Illinois,137,134.42857142857142,1182,1668.2857142857142,1.66148633460947,0.1658322082574845
18510,2021-03-09,17,Illinois,144,135.14285714285714,1510,1658.7142857142858,1.6639686652172354,0.1640532410998048
18511,2021-03-10,17,Illinois,144,136.14285714285714,1682,1598.4285714285713,1.6170598125801727,0.16035357305365297
18512,2021-03-11,17,Illinois,138,133.57142857142858,1700,1592.7142857142858,1.643232790395289,0.1582462626511833
18513,2021-03-12,17,Illinois,125,132.57142857142858,1763,1638.5714285714287,1.6382286178449383,0.15616793921232242
18514,2021-03-13,17,Illinois,130,132.28571428571428,1675,1511.4285714285713,1.6111172328258858,0.15271159256732622
18515,2021-03-14,17,Illinois,114,133.14285714285714,1484,1570.857142857143,1.587812491555068,0.15163191522423977
18516,2021-03-15,17,Illinois,145,134.28571428571428,782,1513.7142857142858,1.6737272058471735,0.15077964110019224
18517,2021-03-16,17,Illinois,136,133.14285714285714,1997,1583.2857142857142,1.6600934251566866,0.1477509745565064
18518,2021-03-17,17,Illinois,153,134.42857142857142,1655,1579.4285714285713,1.6584502334763833,0.14546329707931513
18519,2021-03-18,17,Illinois,132,133.57142857142858,2325,1668.7142857142858,1.589024296088038,0.1431907096042834
18520,2021-03-19,17,Illinois,160,138.57142857142858,2380,1756.857142857143,1.5690450040463126,0.14290172074729565
18521,2021-03-20,17,Illinois,127,138.14285714285714,1962,1797.857142857143,1.5784832231736512,0.14223030421646063
18522,2021-03-21,17,Illinois,142,142.14285714285714,1431,1790.2857142857142,1.549573699170505,0.13834957809573936
18523,2021-03-22,17,Illinois,226,153.71428571428572,1220,1852.857142857143,1.5040275239534866,0.13628883595676217
18524,2021-03-23,17,Illinois,178,159.71428571428572,1832,1829.2857142857142,1.507352715648911,0.13542381738868467
18525,2021-03-24,17,Illinois,171,162.28571428571428,2793,1991.857142857143,1.5273947852215692,0.13803213401042094
18526,2021-03-25,17,Illinois,183,169.57142857142858,2190,1972.5714285714287,1.5523198203015034,0.13875958093748392
18527,2021-03-26,17,Illinois,167,170.57142857142858,3002,2061.4285714285716,1.5651494307932423,0.13747089875675425
18528,2021-03-27,17,Illinois,168,176.42857142857142,2678,2163.714285714286,1.5776071290519547,0.13892168959959036
18529,2021-03-28,17,Illinois,162,179.28571428571428,2250,2280.714285714286,1.593755162774594,0.1402786984784136
18530,2021-03-29,17,Illinois,184,173.28571428571428,1761,2358.0,1.6079445817091411,0.14172978976200865
18531,2021-03-30,17,Illinois,210,177.85714285714286,2404,2439.714285714286,1.6090644528266795,0.14223864626604477
