key,level
PAN9,gadm1
PAN10,gadm1
PAN11,gadm1
PAN12,gadm1
PAN13,gadm1
PNG1,gadm1
PNG2,gadm1
PNG3,gadm1
PNG4,gadm1
PNG5,gadm1
PNG6,gadm1
PNG7,gadm1
PNG8,gadm1
PNG9,gadm1
PNG10,gadm1
PNG11,gadm1
PNG12,gadm1
PNG13,gadm1
PNG14,gadm1
PNG15,gadm1
PNG16,gadm1
PNG17,gadm1
PNG18,gadm1
PNG19,gadm1
PNG20,gadm1
PNG21,gadm1
PNG22,gadm1
PRY1,gadm1
PRY2,gadm1
PRY3,gadm1
PRY4,gadm1
PRY5,gadm1
PRY6,gadm1
PRY7,gadm1
PRY8,gadm1
PRY9,gadm1
PRY10,gadm1
PRY11,gadm1
PRY12,gadm1
PRY13,gadm1
PRY14,gadm1
PRY15,gadm1
PRY16,gadm1
PRY17,gadm1
PRY18,gadm1
PER1,gadm1
PER2,gadm1
PER3,gadm1
PER4,gadm1
PER5,gadm1
PER6,gadm1
PER7,gadm1
PER8,gadm1
PER9,gadm1
PER10,gadm1
PER11,gadm1
PER12,gadm1
PER13,gadm1
PER14,gadm1
PER15,gadm1
PER16,gadm1
PER17,gadm1
PER18,gadm1
PER19,gadm1
PER20,gadm1
PER21,gadm1
PER22,gadm1
PER23,gadm1
PER24,gadm1
PER25,gadm1
PER26,gadm1
PHL1,gadm1
PHL2,gadm1
PHL3,gadm1
PHL4,gadm1
PHL5,gadm1
PHL6,gadm1
PHL7,gadm1
PHL8,gadm1
PHL9,gadm1
PHL10,gadm1
PHL11,gadm1
PHL12,gadm1
PHL13,gadm1
PHL14,gadm1
PHL15,gadm1
PHL16,gadm1
PHL17,gadm1
PHL18,gadm1
PHL19,gadm1
PHL20,gadm1
PHL21,gadm1
PHL22,gadm1
PHL23,gadm1
PHL24,gadm1
PHL25,gadm1
PHL26,gadm1
